Precint,2008 - Presidential,2010 - Governor,2012 - President,2014 - Governor,2016 - Presidential,
01A,1091,961,1283,1382,2168,
01B,1527,1471,1798,1750,2672,
01C,393,245,430,326,612,
01D,301,332,341,407,297,
01E,1037,1066,1243,1331,3359,
01F,332,187,331,263,470,
01G,625,485,741,646,NA,
01H,NA,NA,NA,210,408,
01I,NA,NA,NA,1,NA,
01J,794,600,832,761,1235,
01P,465,380,489,427,605,
01R,648,352,544,344,578,
01S,600,387,639,555,836,
01T,774,396,518,440,764,
02A,611,500,594,1301,2402,
02B,665,562,674,752,1258,
02C,1103,489,699,630,1259,
02D,833,1002,1356,1216,2529,
02E,1000,789,907,970,1429,
02F1,405,859,1209,1073,2027,
02F2,732,166,213,198,486,
02G,403,792,1081,1126,2320,
02H,NA,NA,NA,NA,NA,
02I,NA,NA,NA,NA,NA,
02J,1247,199,235,856,2158,
02L1,665,1383,1855,1686,3715,
02L2,752,206,289,346,733,
02S,460,553,969,244,437,
02W,858,406,603,121,296,
03A,242,447,609,530,790,
03B,626,151,194,113,207,
03C,249,502,511,505,762,
03D,280,235,262,273,407,
03E,410,267,656,536,941,
03F,255,220,134,504,1179,
03G,446,173,134,164,314,
03H,236,331,260,249,405,
03I,NA,NA,NA,289,863,
03L,278,122,213,144,216,
03M,807,267,349,267,462,
03N,586,381,698,494,943,
03P1,348,509,792,644,1951,
03P2,628,35,87,NA,22,
03S,497,208,194,11,351,
03T,472,428,584,234,767,
04A,685,249,383,364,516,
04B,428,388,441,356,975,
04C,NA,NA,NA,41,64,
04D,881,465,437,529,731,
04F,NA,NA,NA,562,958,
04G,361,178,266,198,321,
04I,550,NA,NA,322,575,
04J,0,NA,NA,129,421,
04K,459,561,671,789,1193,
04L,276,371,459,476,792,
04M,717,186,268,196,330,
04S,383,745,790,853,1157,
04T,568,354,417,423,555,
04V,724,437,748,682,1238,
04W,550,384,562,273,724,
04X1,161,569,599,676,971,
04X2,1351,158,166,207,337,
05A1,554,1350,810,918,1695,
05A2,NA,NA,1133,918,1684,
05B,80,268,692,502,944,
05C,256,19,41,24,66,
05D,NA,NA,NA,36,128,
05E,NA,NA,NA,4,NA,
05F,NA,205,NA,4,80,
05G,NA,NA,NA,NA,NA,
05H,NA,NA,NA,NA,NA,
05I,NA,NA,NA,NA,NA,
05J,NA,NA,NA,244,NA,
05L,NA,NA,NA,NA,NA,
05K,NA,NA,NA,568,1395,
05P,NA,NA,NA,NA,NA,
06A,NA,883,1214,NA,NA,
06B,965,661,869,751,1278,
06C,NA,NA,NA,NA,NA,
06D,947,873,1104,1138,5968,
06E,1110,669,886,803,1522,
06F,1250,978,1289,1141,1843,
06G,788,931,1235,203,373,
06I,NA,NA,NA,702,1764,
06J,799,970,1203,1257,1883,
06K,NA,466,550,NA,NA,
06L1,720,767,431,511,670,
06L2,0,NA,376,383,485,
06M,0,NA,NA,NA,NA,
06N,0,NA,NA,790,1202,
06P,0,NA,NA,NA,NA,
06Q,0,NA,NA,112,NA,
06R,1182,630,671,807,NA,
06S,NA,1514,1648,1784,NA,
07A,1380,1629,1706,2186,4084,
07B,837,1366,1253,1516,2149,
07C,1191,1042,1083,1560,2545,
07D,1443,1082,1085,1239,2424,
